,ia,ianum,lang,sentnum,trialid,prob_skip,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
1557,los,130,sp,287,2,0.38235294117647056,161.47058823529412,187.94117647058823,0.7352941176470589,0.9117647058823529,0.11764705882352941,0.14705882352941177,5
1558,nativos,131,sp,287,2,0.20588235294117646,206.8235294117647,290.6470588235294,1.088235294117647,1.5294117647058822,0.2647058823529412,0.20588235294117646,5
1559,que,132,sp,287,2,0.6764705882352942,60.911764705882355,84.97058823529412,0.35294117647058826,0.47058823529411764,0.029411764705882353,0.08823529411764706,5
1560,encontraban,133,sp,287,2,0.058823529411764705,336.02941176470586,508.0,1.5,2.264705882352941,0.5,0.4117647058823529,5
1561,allá.,134,sp,287,2,0.3235294117647059,136.41176470588235,161.6764705882353,0.7941176470588235,1.0,0.11764705882352941,0.17647058823529413,5
1562,Residents,109,en,343,2,0.14285714285714285,222.92857142857142,309.7857142857143,1.0714285714285714,1.5714285714285714,0.21428571428571427,0.2857142857142857,6
1563,of,110,en,343,2,0.7857142857142857,30.714285714285715,30.714285714285715,0.21428571428571427,0.21428571428571427,0.0,0.0,6
1564,Hawaii,111,en,343,2,0.21428571428571427,243.92857142857142,397.2857142857143,0.9285714285714286,1.6428571428571428,0.21428571428571427,0.35714285714285715,6
1565,use,112,en,343,2,0.42857142857142855,99.78571428571429,154.0,0.5714285714285714,0.9285714285714286,0.0,0.21428571428571427,6
1566,the,113,en,343,2,0.5,121.42857142857143,282.42857142857144,0.5714285714285714,1.2857142857142858,0.14285714285714285,0.21428571428571427,6
1567,shaka,114,en,343,2,0.7142857142857143,86.0,104.78571428571429,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,6
1568,to,115,en,343,2,0.6428571428571429,67.71428571428571,83.42857142857143,0.35714285714285715,0.42857142857142855,0.0,0.07142857142857142,6
1569,convey,116,en,343,2,0.14285714285714285,247.71428571428572,424.92857142857144,1.1428571428571428,2.0714285714285716,0.42857142857142855,0.42857142857142855,6
1570,the,117,en,343,2,0.35714285714285715,104.28571428571429,129.21428571428572,0.6428571428571429,0.7857142857142857,0.0,0.14285714285714285,6
1571,"""Aloha",118,en,343,2,0.07142857142857142,194.14285714285714,339.2857142857143,1.0,1.7142857142857142,0.14285714285714285,0.42857142857142855,6
1572,"Spirit"":",119,en,343,2,0.21428571428571427,218.07142857142858,300.42857142857144,1.0,1.5,0.07142857142857142,0.2857142857142857,6
